layer name,function name,para num
Dense,addDense,1
Conv2D,addConv2D,4
BatchNormalization,addBatchNorm,2
MaxPooling2D,addMaxPool,2
Dropout,addDropout,2
Activation,addActivation,1
ZeroPadding2D,addZeroPadd,1
AveragePooling1D,addAverPool1D,2
AveragePooling2D,addAverPool2D,2
AveragePooling3D,addAverPool3D,2
Conv1D,addConv1D,4
Conv3D,addConv3D,4
LeakyReLU,addLeakyReLU,1
LocallyConnected1D,addLocallyConnected1D,3
LocallyConnected2D,addLocallyConnected2D,3
ReLU,addReLU,1
RepeatVector,addRepeatVector,1
SeparableConv1D,addSeparableConv1D,4
SeparableConv2D,addSeparableConv2D,4
SimpleRNN,addSimpleRNN,8
SimpleRNNCell,addSimpleRNNCell,5
SpatialDropout1D,addSpatialDropout1D,1
SpatialDropout2D,addSpatialDropout2D,1
SpatialDropout3D,addSpatialDropout3D,1
ThresholdedReLU,addThresholdedReLU,1
Conv2DTranspose,addConv2DTranspose,4
Conv3DTranspose,addConv3DTranspose,4
DepthwiseConv2D,addDepthwiseConv2D,3
Flatten,addFlatten,0
GRU,addGRU,3
GRUCell,addGRUCell,3
GaussianDropout,addGaussianDropout,2
GaussianNoise,addGaussianNoise,2
GlobalAveragePooling1D,addGloAverPool1D,1
GlobalAveragePooling2D,addGloAverPool2D,1
GlobalAveragePooling3D,addGloAverPool3D,1
GlobalMaxPooling1D,addGloMaxPool1D,1
GlobalMaxPooling2D,addGloMaxPool2D,1
GlobalMaxPooling3D,addGloMaxPool3D,1
LSTM,addLSTM,11
LSTMCell,addLSTMCell,5
LayerNormalization,addLayerNormal,3
